Respondent,Employment,Country,EdLevel,OrgSize,DevType,YearsCode,Age1stCode,YearsCodePro,CareerSat,JobSat,ConvertedComp,WorkLoc,ImpSyn,Age,Gender,Trans,Sexuality,Ethnicity,Dependents,SurveyLength,SurveyEase
8007,Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,"Developer, full-stack",9,15,3,Slightly satisfied,Neither satisfied nor dissatisfied,66453,Home,A little above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
8013,Employed full-time,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",15,16,11,Slightly satisfied,Slightly satisfied,27492,Office,A little below average,36,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8017,Employed full-time,Netherlands,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data;Product manager",21,11,14,Slightly satisfied,Slightly satisfied,88633,"Other place, such as a coworking space or cafe",Far above average,36,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Easy
8019,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees",,12,12,6,Very satisfied,Slightly satisfied,51240,"Other place, such as a coworking space or cafe",A little above average,24,Man,No,Bisexual,White or of European descent,No,Appropriate in length,Easy
8020,Employed full-time,Poland,Some college/university study without earning a degree,500 to 999 employees,"Developer, full-stack;Student",8,10,3,Very satisfied,Very satisfied,41688,Office,A little above average,24,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8021,Employed full-time,Turkey,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, back-end",13,19,6,Slightly satisfied,Slightly satisfied,18432,Home,A little above average,32,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8023,Employed full-time,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Developer, back-end",8,17,2,Slightly satisfied,Very satisfied,852,Office,Average,29,Man,No,Straight / Heterosexual,Middle Eastern,No,Too long,Neither easy nor difficult
8024,Employed full-time,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, full-stack",3,23,3,Very satisfied,Very satisfied,10080,Office,Average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8026,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, desktop or enterprise applications;Developer, game or graphics;Developer, mobile",8,18,4,Very satisfied,Very satisfied,140000,Home,A little above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8030,Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Developer, full-stack",20,13,5,Slightly satisfied,Neither satisfied nor dissatisfied,53850,Office,A little above average,33,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Neither easy nor difficult
8033,Employed full-time,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,Academic researcher,12,18,8,Very dissatisfied,Slightly dissatisfied,43992,Office,Far above average,30,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Easy
8034,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, full-stack",20,19,18,Slightly satisfied,Very satisfied,,Office,Average,40,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Neither easy nor difficult
8036,Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, back-end",12,19,5,Slightly satisfied,Neither satisfied nor dissatisfied,,Office,A little above average,30,Man,No,Straight / Heterosexual,,No,Appropriate in length,Easy
8037,Employed full-time,Ukraine,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees","Developer, full-stack",5,15,4,Slightly satisfied,Very satisfied,,Office,A little above average,26,Man,No,Straight / Heterosexual,White or of European descent,,Appropriate in length,Easy
8039,Employed full-time,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineer, data",25,11,22,Slightly satisfied,Slightly dissatisfied,,Home,A little below average,44,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8041,Employed full-time,United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;System administrator",18,19,16,Very dissatisfied,Very satisfied,98016,Office,Far above average,37,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Neither easy nor difficult
8043,Employed full-time,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",9,14,5,Very satisfied,Neither satisfied nor dissatisfied,31620,Office,Far above average,27,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8047,Employed full-time,Belgium,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, desktop or enterprise applications",8,16,4,Slightly satisfied,Slightly satisfied,38496,Office,Average,25,Man,No,,White or of European descent,No,Too long,Easy
8048,Employed full-time,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, full-stack",7,21,6,Slightly satisfied,Slightly satisfied,9167,Office,Average,31,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8049,Employed full-time,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Data or business analyst;Database administrator;Developer, back-end",10,7,4,Very satisfied,Slightly satisfied,23832,Office,A little above average,23,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8050,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,Data or business analyst,4,20,2,Very satisfied,Slightly satisfied,68000,Home,Average,23,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina;Multiracial,No,Appropriate in length,Neither easy nor difficult
8051,Employed full-time,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,,12,16,5,Very satisfied,Slightly satisfied,80202,Home,Far above average,28,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8055,Employed full-time,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,"Developer, full-stack",3,14,Less than 1 year,Slightly satisfied,Very satisfied,,Office,Far below average,20,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8056,Employed full-time,Canada,Associate degree,100 to 499 employees,"Data or business analyst;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist",17,25,13,Very satisfied,Very satisfied,46566,Office,Average,48,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8058,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,Data or business analyst,4,25,3,Slightly satisfied,Slightly dissatisfied,2000000,"Other place, such as a coworking space or cafe",A little above average,,Man,No,Straight / Heterosexual,"Hispanic or Latino/Latina;Native American, Pacific Islander, or Indigenous Australian;South Asian;White or of European descent;Multiracial",No,Appropriate in length,Easy
8063,Employed full-time,Romania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",15,10,9,Slightly satisfied,Slightly satisfied,60720,Office,Far above average,29,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8064,Employed full-time,Russian Federation,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,"Developer, full-stack",13,15,7,Slightly dissatisfied,Very dissatisfied,17604,Office,A little above average,29,Man,No,Straight / Heterosexual,,Yes,Too long,Neither easy nor difficult
8065,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Developer, back-end",3,21,1,Very satisfied,Very satisfied,60000,Office,Average,,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8067,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees","Designer;Developer, back-end;Developer, desktop or enterprise applications",27,16,17,Very satisfied,Slightly satisfied,170000,Office,A little above average,43,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8068,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;Developer, embedded applications or devices;Developer, full-stack;DevOps specialist",12,19,10,Slightly satisfied,Slightly satisfied,,Home,Far above average,31,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Easy
8071,Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",2-9 employees,Data scientist or machine learning specialist,18,14,12,Very satisfied,Very satisfied,350000,Office,Far above average,32,Woman,Yes,Gay or Lesbian,White or of European descent,No,Too long,Neither easy nor difficult
8073,Employed full-time,South Africa,Some college/university study without earning a degree,500 to 999 employees,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineer, site reliability;Marketing or sales professional",10,19,8,Very satisfied,Very satisfied,22512,Office,A little above average,28,Woman,No,Straight / Heterosexual,Biracial,Yes,Appropriate in length,Easy
8074,Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, full-stack",22,11,19,Very satisfied,Slightly satisfied,60517,Office,A little above average,40,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8079,Employed full-time,Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end",30,10,14,Slightly satisfied,Slightly satisfied,28080,Office,Average,42,Woman,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8083,Employed full-time,Greece,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",17,11,17,Neither satisfied nor dissatisfied,Slightly dissatisfied,26124,Office,Average,38,Man,No,Straight / Heterosexual,Middle Eastern;White or of European descent,No,Appropriate in length,Easy
8084,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineering manager",26,10,11,Very satisfied,Very satisfied,150000,"Other place, such as a coworking space or cafe",Far above average,36,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Neither easy nor difficult
8085,Employed full-time,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Data or business analyst;Developer, mobile;Engineer, data",8,19,3,Very satisfied,Very satisfied,57287,Office,A little above average,27,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8086,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, back-end;Developer, full-stack;DevOps specialist;Engineer, site reliability;System administrator",15,14,14,Very dissatisfied,Very dissatisfied,250000,Office,Average,28,Man,No,Gay or Lesbian,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8088,Employed full-time,Greece,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Academic researcher;Data scientist or machine learning specialist;Developer, full-stack",21,9,20,Slightly satisfied,Slightly satisfied,49500,Office,Far above average,40,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8091,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees","Developer, mobile",7,19,6,Very satisfied,Very satisfied,115000,Home,Average,26,Woman,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8094,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineering manager;System administrator",25,13,25,Slightly satisfied,Slightly satisfied,150000,Home,A little above average,46,Man,No,Straight / Heterosexual,Middle Eastern,No,Appropriate in length,Easy
8096,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees","Developer, full-stack",22,17,15,Very satisfied,Slightly dissatisfied,150000,Home,Far above average,39,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8097,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Data scientist or machine learning specialist;Engineer, data",12,19,10,Slightly satisfied,Very dissatisfied,160000,Office,Far above average,31,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8098,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",13,19,10,Very satisfied,Neither satisfied nor dissatisfied,101000,Home,Far above average,31,Man,No,Straight / Heterosexual,"Native American, Pacific Islander, or Indigenous Australian;White or of European descent;Biracial",Yes,Appropriate in length,Easy
8101,Employed full-time,Israel,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, back-end",8,12,3,Slightly satisfied,Slightly satisfied,79176,"Other place, such as a coworking space or cafe",Average,31,Man,No,Straight / Heterosexual,Middle Eastern;White or of European descent,No,Too long,Easy
8102,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;DevOps specialist;Engineer, site reliability",9,16,4,Slightly satisfied,Slightly satisfied,135000,Home,A little above average,28,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8105,Employed full-time,Portugal,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,Academic researcher;Data scientist or machine learning specialist;Scientist,20,8,7,Very satisfied,Very satisfied,74474,Office,Far above average,37,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8109,Employed full-time,Sweden,Some college/university study without earning a degree,"1,000 to 4,999 employees","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Educator",39,8,25,Slightly satisfied,Slightly dissatisfied,68928,Home,Far above average,46,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8112,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Data scientist or machine learning specialist;Developer, full-stack",14,17,13,Very satisfied,Very satisfied,160000,"Other place, such as a coworking space or cafe",A little above average,32,Man,No,Straight / Heterosexual,Black or of African descent,Yes,Appropriate in length,Easy
8115,Employed full-time,Brazil,Some college/university study without earning a degree,100 to 499 employees,"Developer, full-stack",38,10,30,Very satisfied,Very satisfied,60000,"Other place, such as a coworking space or cafe",Average,48,Man,No,Straight / Heterosexual,Multiracial,Yes,Appropriate in length,Easy
8118,Employed full-time,Italy,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,Data scientist or machine learning specialist,7,16,3,Very dissatisfied,Very dissatisfied,371220,Home,A little below average,27,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
8132,Employed part-time,Croatia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,"Data scientist or machine learning specialist;Developer, back-end;Student",5,16,1,Neither satisfied nor dissatisfied,Slightly satisfied,,Office,Average,22,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8133,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;DevOps specialist",16,12,8,Very satisfied,Very satisfied,57180,Office,Far above average,28,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina;White or of European descent,No,Appropriate in length,Easy
8135,Employed full-time,Germany,"Other doctoral degree (Ph.D, Ed.D., etc.)",100 to 499 employees,"Data or business analyst;Developer, back-end;Engineer, data",10,15,6,Very satisfied,Very satisfied,75619,Office,A little above average,30,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
8140,Employed full-time,Morocco,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end",5,19,2,Slightly satisfied,Slightly satisfied,,Home,A little above average,24,Man,No,Straight / Heterosexual,Black or of African descent;Middle Eastern,No,Appropriate in length,Neither easy nor difficult
8143,Employed full-time,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",2,20,2,Very satisfied,Very satisfied,,Office,A little above average,23,Man,No,Straight / Heterosexual,East Asian,Yes,Appropriate in length,Neither easy nor difficult
8144,Employed full-time,Sri Lanka,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2-9 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, mobile",10,16,6,Very satisfied,Very satisfied,509,Office,A little above average,26,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Neither easy nor difficult
8145,Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, full-stack;DevOps specialist;Product manager",6,25,6,Slightly satisfied,Neither satisfied nor dissatisfied,57573,Office,Average,39,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8146,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Data scientist or machine learning specialist;Engineer, data",8,17,4,Very satisfied,Very satisfied,2000000,Home,Far above average,26,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
8151,Employed full-time,Bosnia and Herzegovina,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,"Developer, back-end;Developer, front-end;Developer, full-stack",2,16,2,Very satisfied,Very satisfied,10548,Office,A little above average,23,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8153,Employed full-time,Serbia,Some college/university study without earning a degree,100 to 499 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator",35,8,27,Slightly satisfied,Neither satisfied nor dissatisfied,12312,Home,Far above average,42,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
8154,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, QA or test;DevOps specialist",7,22,7,Very satisfied,Very satisfied,137500,"Other place, such as a coworking space or cafe",Average,28,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
8162,Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","5,000 to 9,999 employees","Data scientist or machine learning specialist;Developer, full-stack;DevOps specialist;Engineer, data",11,14,7,Very satisfied,Neither satisfied nor dissatisfied,125613,Home,Far above average,28,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8164,Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",Data scientist or machine learning specialist;Database administrator;Product manager,35,17,20,Slightly dissatisfied,Slightly dissatisfied,141226,"Other place, such as a coworking space or cafe",A little above average,,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8165,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, full-stack",10,15,8,Slightly satisfied,Slightly satisfied,200000,Office,A little above average,,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Easy
8166,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end",35,13,35,Very satisfied,Very satisfied,246000,Office,Far above average,53,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8167,Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, full-stack;System administrator",15,12,5,Very satisfied,Slightly satisfied,59579,Office,A little above average,34,Man,No,,White or of European descent,No,Too short,Neither easy nor difficult
8174,Employed full-time,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",7,20,3,Very satisfied,Very satisfied,,Home,A little above average,26,Man,No,Straight / Heterosexual,South Asian,Yes,Appropriate in length,Easy
8176,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Developer, desktop or enterprise applications",30,6,19,Slightly satisfied,Slightly satisfied,95000,Office,A little above average,41,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8177,Employed full-time,Mexico,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Developer, full-stack;Scientist",12,20,22,Slightly satisfied,Slightly satisfied,36756,"Other place, such as a coworking space or cafe",Far above average,31,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,No,Appropriate in length,Easy
8182,Employed full-time,Nigeria,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees","Academic researcher;Developer, full-stack",5,16,4,Very satisfied,Very satisfied,20100,Home,Far above average,28,Man,No,Straight / Heterosexual,Black or of African descent,No,Too long,Easy
8187,Employed full-time,Poland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,"Designer;Developer, back-end;Developer, front-end",17,12,5,Slightly satisfied,Very satisfied,27252,Office,A little below average,29,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Neither easy nor difficult
8188,Employed full-time,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,Senior executive/VP,38,8,25,Very dissatisfied,Slightly satisfied,82494,"Other place, such as a coworking space or cafe",Far above average,46,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Neither easy nor difficult
8189,Employed full-time,Mexico,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Academic researcher;Designer;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",10,19,5,Neither satisfied nor dissatisfied,Very dissatisfied,15708,Home,Average,29,Woman,No,,,No,Too long,Neither easy nor difficult
8193,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, QA or test",16,15,Less than 1 year,Very dissatisfied,Very satisfied,2000000,Office,A little below average,31,Man,No,Straight / Heterosexual,White or of European descent,No,Too long,Neither easy nor difficult
8194,Employed full-time,United States,Associate degree,20 to 99 employees,"Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",20,21,20,Neither satisfied nor dissatisfied,Slightly dissatisfied,50000,Office,A little above average,41,Woman,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Easy
8195,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,"Developer, mobile",4,17,Less than 1 year,Slightly satisfied,Slightly satisfied,150000,Office,A little below average,25,Man,No,Straight / Heterosexual,Black or of African descent,No,Too long,Neither easy nor difficult
8197,Employed full-time,Slovenia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end",10,15,4,Neither satisfied nor dissatisfied,Slightly dissatisfied,32724,Office,Average,30,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Neither easy nor difficult
8198,Employed full-time,Nepal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test",4,18,2,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,8436,Office,A little above average,25,Man,No,Straight / Heterosexual,South Asian,Yes,Too long,Neither easy nor difficult
8200,Employed full-time,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,"Developer, back-end",13,15,9,Slightly satisfied,Very satisfied,51030,Office,A little above average,31,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8201,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees","Developer, back-end;DevOps specialist;Engineer, site reliability",6,18,6,Slightly satisfied,Neither satisfied nor dissatisfied,80000,Office,Average,25,Man,No,Gay or Lesbian,,No,Appropriate in length,Easy
8202,Employed part-time,Finland,Some college/university study without earning a degree,20 to 99 employees,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Student",5,15,Less than 1 year,Very satisfied,Slightly satisfied,46752,Office,A little above average,20,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8204,Employed full-time,Canada,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Developer, full-stack",3,10,2,Slightly satisfied,Very dissatisfied,,Office,Average,28,Woman,No,Straight / Heterosexual,South Asian,No,Appropriate in length,Easy
8205,Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees","Developer, back-end;Developer, full-stack",20,12,8,Slightly satisfied,Slightly satisfied,97000,Home,Far above average,32,Man,No,Straight / Heterosexual,White or of European descent,No,Appropriate in length,Easy
8206,Employed full-time,Serbia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Developer, full-stack",10,15,6,Slightly satisfied,Very dissatisfied,33866,"Other place, such as a coworking space or cafe",A little above average,29,Man,No,Straight / Heterosexual,White or of European descent,,Appropriate in length,Neither easy nor difficult
8207,Employed full-time,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,"Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",12,17,19,Slightly satisfied,Slightly satisfied,20628,Office,Average,32,Man,No,Straight / Heterosexual,White or of European descent,Yes,Appropriate in length,Neither easy nor difficult
8208,Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,"Developer, back-end;Developer, full-stack",8,16,6,Very satisfied,Very satisfied,80000,Office,A little above average,27,Man,No,Straight / Heterosexual,Hispanic or Latino/Latina,No,Too long,Neither easy nor difficult
8212,Employed full-time,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,"Database administrator;Developer, full-stack",21,17,11,Very satisfied,Slightly satisfied,64620,Home,Far above average,38,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too short,Easy
8213,Employed full-time,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)","10,000 or more employees","Academic researcher;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, front-end;Developer, full-stack",22,10,20,Very satisfied,Slightly satisfied,130000,Office,Far above average,48,Man,No,Straight / Heterosexual,White or of European descent,Yes,Too long,Easy
